name,tear,score,rate
허거덩,C,"1,946 LP",206승 206패 60.6%
dlwlrma22,C,"1,873 LP",278승 278패 58.5%
카 엘,C,"1,815 LP",249승 249패 58.6%
Radiohead,C,"1,741 LP",383승 383패 54.2%
Moham,C,"1,719 LP",530승 530패 54.1%
XiaoHao,C,"1,651 LP",239승 239패 61.8%
어쩌라고맞짱뜰까,C,"1,639 LP",222승 222패 58.6%
윤용호,C,"1,630 LP",328승 328패 56.6%
정지훈,C,"1,627 LP",367승 367패 55.8%
Karis,C,"1,625 LP",322승 322패 55.3%
불 독,C,"1,617 LP",196승 196패 61.3%
뚱뚱이,C,"1,571 LP",380승 380패 54.5%
Lure,C,"1,550 LP",373승 373패 55.8%
qazwsxedcrfvdf,C,"1,528 LP",276승 276패 57.4%
xycg,C,"1,513 LP",427승 427패 54.3%
NS Callme,C,"1,512 LP",469승 469패 53.7%
숟가락전사,C,"1,502 LP",405승 405패 54.3%
HamBak,C,"1,502 LP",308승 308패 56.7%
플레이리스트겨울,C,"1,483 LP",290승 290패 55.3%
nikett,C,"1,468 LP",408승 408패 57.1%
hwa i tings,C,"1,458 LP",615승 615패 52.7%
Arnold Hur,C,"1,446 LP",371승 371패 55.7%
읽씹맨,C,"1,435 LP",459승 459패 53.9%
Way,C,"1,391 LP",298승 298패 54.2%
노장 두티,C,"1,381 LP",254승 254패 56.6%
ShowMaker,C,"1,376 LP",221승 221패 56.4%
livinli,C,"1,371 LP",204승 204패 60.7%
gougoujingzhang,C,"1,365 LP",353승 353패 54.4%
태 윤,C,"1,360 LP",309승 309패 54.7%
Effort,C,"1,359 LP",241승 241패 55.3%
Azhy,C,"1,357 LP",260승 260패 56.4%
Minous,C,"1,354 LP",304승 304패 55.4%
르세라핌 정훈,C,"1,352 LP",172승 172패 63.0%
광연44,C,"1,347 LP",163승 163패 64.4%
Quad,C,"1,347 LP",292승 292패 57.7%
안죽기장인,C,"1,346 LP",241승 241패 57.2%
Samver,C,"1,346 LP",298승 298패 55.9%
관 모,C,"1,340 LP",576승 576패 52.4%
Kingen,C,"1,339 LP",348승 348패 54.6%
DK Lucid,C,"1,338 LP",290승 290패 54.8%
HLE Life Esports,C,"1,320 LP",269승 269패 55.3%
따봉 람머스,C,"1,317 LP",254승 254패 55.8%
밤이싫어,C,"1,316 LP",410승 410패 54.2%
Samver,C,"1,314 LP",352승 352패 54.6%
jinyuhuahuo,C,"1,314 LP",369승 369패 54.3%
homem aranha,C,"1,314 LP",223승 223패 57.5%
Mofuweizhen,C,"1,311 LP",227승 227패 58.4%
Blue Oasis,C,"1,307 LP",178승 178패 55.6%
나 비,C,"1,300 LP",247승 247패 55.9%
luckyqqqq,C,"1,295 LP",356승 356패 54.8%
LFT DICE,C,"1,292 LP",254승 254패 57.0%
Winner,C,"1,291 LP",151승 151패 60.6%
Rooster,C,"1,291 LP",368승 368패 54.9%
Sad mood,C,"1,282 LP",228승 228패 56.7%
의 주,C,"1,274 LP",131승 131패 63.3%
따붕 람미스,C,"1,273 LP",278승 278패 56.2%
Ego BattIe,C,"1,272 LP",163승 163패 56.0%
HamBak,C,"1,262 LP",207승 207패 58.6%
조사병단병사1,C,"1,262 LP",345승 345패 54.6%
강성인,C,"1,262 LP",292승 292패 54.9%
i want to pro,C,"1,260 LP",357승 357패 56.4%
astroboy,C,"1,260 LP",194승 194패 59.1%
Deft,C,"1,248 LP",362승 362패 53.5%
Morgan,C,"1,245 LP",156승 156패 59.3%
DRX,C,"1,242 LP",396승 396패 53.4%
DK Sharvel,C,"1,234 LP",505승 505패 52.7%
Chinata,C,"1,233 LP",432승 432패 53.3%
당신은 사랑해요,C,"1,229 LP",410승 410패 53.5%
IIrrooGG,C,"1,229 LP",158승 158패 62.0%
FA Kingdom,C,"1,229 LP",407승 407패 54.0%
TolanD23,C,"1,224 LP",666승 666패 51.8%
Guo m1e na sai ,C,"1,222 LP",242승 242패 56.0%
T1 Smash,C,"1,215 LP",235승 235패 55.0%
Cloud,C,"1,214 LP",728승 728패 51.9%
텐동맨,C,"1,212 LP",204승 204패 57.1%
대광 ,C,"1,211 LP",327승 327패 55.3%
Aileri,C,"1,196 LP",273승 273패 54.6%
Rich,C,"1,192 LP",153승 153패 60.0%
xiayoujie,C,"1,190 LP",302승 302패 55.2%
HyeonJu,C,"1,190 LP",245승 245패 55.3%
DRX kyeahoo,C,"1,190 LP",391승 391패 53.3%
타 잔,C,"1,187 LP",290승 290패 55.0%
C9 Berserker,C,"1,187 LP",198승 198패 59.5%
모든것을극한으로,C,"1,186 LP",327승 327패 55.8%
누누와 윌럼프,C,"1,183 LP",136승 136패 64.5%
Bae Suzy,C,"1,181 LP",306승 306패 53.9%
add astra,C,"1,177 LP",189승 189패 58.9%
라 코,C,"1,173 LP",221승 221패 55.4%
키보드에음료쏟아서고장내는이도윤,C,"1,168 LP",244승 244패 55.3%
건물 사이 장미,C,"1,161 LP",195승 195패 56.2%
123156466,C,"1,159 LP",215승 215패 56.6%
Citrus,C,"1,156 LP",772승 772패 52.0%
호떡붕어빵,C,"1,154 LP",200승 200패 56.7%
LSB,C,"1,150 LP",226승 226패 56.2%
Blaber,C,"1,148 LP",305승 305패 53.6%
FA ady,C,"1,146 LP",552승 552패 52.0%
추요정,C,"1,141 LP",116승 116패 63.7%
Brance,C,"1,140 LP",293승 293패 55.0%
raptor,C,"1,138 LP",428승 428패 53.3%
신이 되는 길요,C,"1,135 LP",362승 362패 57.1%
